Restaurant_Name,Rating (Out of 5),votes,cuisines,dish_liked,location,online_order,Sub-Type,Type
The House Of Vadapav,0,0,,,Banashankari,Yes,Quick Bites,Dine-out
Lassi Spot,3.3,4,,,Kumaraswamy Layout,Yes,Beverage Shop,Delivery
Hotel Andhra Speices,0,0,Andhra,,Banashankari,No,Quick Bites,Delivery
Raams Chicken,3.6,22,Andhra,,Banashankari,No,Quick Bites,Dine-out
Bangalore Kabab Palace,0,0,"Andhra, Biryani",,Banashankari,No,Quick Bites,Dine-out
Kholi Mane,3.6,46,"Andhra, South Indian, Biryani, North Indian",,Basavanagudi,No,Quick Bites,Dine-out
Cake Bite,0,0,Bakery,,Banashankari,No,Bakery,Delivery
Cake of the Day,3.7,78,Bakery,,Banashankari,No,"Bakery, Dessert Parlor",Desserts
Cake Art,3.5,15,Bakery,,Basavanagudi,No,"Bakery, Quick Bites",Delivery
Cutcakes,0,0,Bakery,,Kumaraswamy Layout,Yes,"Takeaway, Delivery",Delivery
Floured-Baked With Love,3.8,45,Bakery,"Cup Cake, Chocolate Cake",Banashankari,No,"Takeaway, Delivery",Delivery
Cakes & Slices,3.5,13,"Bakery, Desserts",,Banashankari,No,Bakery,Delivery
Cocoa Bakes,3.6,14,"Bakery, Desserts",,Banashankari,Yes,Bakery,Desserts
Jain Bakes,3.6,8,"Bakery, Desserts",,Basavanagudi,No,Bakery,Desserts
Sugar Stars Co,0,0,"Bakery, Desserts",,Basavanagudi,No,Bakery,Delivery
Srinivasa Brahmins Bakery,3.6,16,"Bakery, Street Food",,Basavanagudi,No,"Bakery, Quick Bites",Desserts
Calcutta Cafe,3.5,45,"Bengali, Chinese, Sandwich",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
South Cool Point,0,0,Beverages,,Basavanagudi,Yes,Dessert Parlor,Delivery
AM WOW,3.4,6,Beverages,,Jayanagar,Yes,Beverage Shop,Delivery
Swathi Cool Point,0,0,"Beverages, Juices",,Banashankari,No,Beverage Shop,Delivery
Corner Stone,3.6,42,"Beverages, Juices, Desserts, Italian",,Banashankari,No,"Beverage Shop, Quick Bites",Desserts
Dtink Lab,0,0,"Beverages, Sandwich",,Banashankari,No,Quick Bites,Dine-out
Naveen Kabab & Biriyani Mane,3.2,9,Biryani,,Banashankari,No,Quick Bites,Delivery
New Quality Dum Biryani,3.1,9,Biryani,,Banashankari,No,Quick Bites,Dine-out
Sri Murari Family Restaurant,0,0,Biryani,,Banashankari,No,Quick Bites,Delivery
New Gowda's Fried Chicken,3.3,12,Biryani,,Banashankari,Yes,Quick Bites,Dine-out
Donne Biriyani combos,0,0,Biryani,,Kumaraswamy Layout,Yes,Casual Dining,Delivery
Godumana Moddha Hotel,0,0,Biryani,,Mysore Road,No,Quick Bites,Dine-out
New Ambur Hot Dum Biryani,3.2,8,Biryani,,Mysore Road,No,Quick Bites,Dine-out
The Biryani Cafe,4.1,520,"Biryani, Chinese, Kebab","Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",Banashankari,No,Quick Bites,Delivery
Thanishka Nati And Karavali Style,0,0,"Biryani, Fast Food",,Banashankari,No,Quick Bites,Delivery
Mylari Biryani Family Restaurant,3.7,73,"Biryani, Fast Food",,Banashankari,Yes,Quick Bites,Delivery
Quality Dum Biriyani,0,0,"Biryani, Kebab",,Banashankari,No,Quick Bites,Dine-out
Spice 9,3.4,8,"Biryani, North Indian, Chinese, Fast Food",,Banashankari,No,Quick Bites,Delivery
The Spice Saga,3.7,124,"Biryani, North Indian, Chinese, Seafood","Biryani, Chicken Grill, Butter Chicken",Kumaraswamy Layout,Yes,Casual Dining,Delivery
New Prashanth Hotel,3.9,388,"Biryani, North Indian, Seafood, Andhra","Chicken Biryani, Ragi Mudde, Mutton Chops",Banashankari,Yes,Casual Dining,Dine-out
Roll Magic Fast Food,0,0,"Biryani, Rolls, Chinese",,Banashankari,No,"Takeaway, Delivery",Delivery
Devanna Dum Biriyani Centre,3.6,28,"Biryani, South Indian",,Banashankari,Yes,Quick Bites,Dine-out
Hide Out Cafe,3.7,31,Cafe,,Banashankari,No,Cafe,Dine-out
Cafe Down The Alley,4.1,402,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Banashankari,Yes,Cafe,Delivery
CAFE NOVA,3.2,11,"Cafe, Bakery",,Banashankari,No,Cafe,Delivery
Caf-Eleven,4,424,"Cafe, Continental","Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",Banashankari,No,Cafe,Dine-out
1980s Games Cafe,3.4,58,"Cafe, Fast Food","Maggi, Pasta, Burgers, Sandwiches, Fries",Basavanagudi,Yes,Cafe,Delivery
Catch-up-ino,3.9,133,"Cafe, Fast Food, Continental, Chinese, Momos","Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",Banashankari,Yes,Cafe,Dine-out
The Vintage Cafe,3,62,"Cafe, French, North Indian","Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",Banashankari,Yes,Cafe,Dine-out
T3H Cafe,3.9,93,"Cafe, Italian, American","Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",Banashankari,No,Cafe,Dine-out
Woodee Pizza,3.7,180,"Cafe, Pizza, Fast Food, Beverages","Pizza, Garlic Bread",Banashankari,Yes,Cafe,Delivery
LSD Cafe,2.9,84,"Chinese, Continental, Italian, North Indian",,Banashankari,No,Delivery,Delivery
Happy Chopsticks,3.6,17,"Chinese, Fast Food",,Basavanagudi,Yes,Quick Bites,Dine-out
Mystique Palate,4.1,337,"Chinese, Fast Food","Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",Jayanagar,Yes,Quick Bites,Delivery
Kings Court Daba,0,0,"Chinese, North Indian",,Banashankari,No,Quick Bites,Dine-out
Spice Elephant,4.1,787,"Chinese, North Indian, Thai","Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",Banashankari,Yes,Casual Dining,Buffet
Belly Squad Food Truck,3.8,55,"Chinese, Rolls, Biryani, Momos","Biryani, Momos, Rolls",South Bangalore,No,Food Truck,Dine-out
Crunch and Munch,3.7,23,"Chinese, Street Food, Ice Cream",,Uttarahalli,Yes,Quick Bites,Delivery
Ferment,0,0,Continental,,Banashankari,No,"Casual Dining, Bar",Dine-out
Twiststick House,4.1,163,"Continental, Fast Food, Street Food, Momos","White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",Basavanagudi,Yes,Quick Bites,Delivery
Gustoes Beer House,4.1,868,"Continental, Italian, Mexican, North Indian, Chinese, Steak","Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",Banashankari,No,Pub,Delivery
Dessert Rose,3.5,7,Desserts,,Banashankari,No,Dessert Parlor,Delivery
Cake Yard,3.4,30,Desserts,,Basavanagudi,No,Dessert Parlor,Delivery
Ifruit Ice Cream,3.3,4,"Desserts, Ice Cream",,Kumaraswamy Layout,Yes,Dessert Parlor,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,3.3,13,"Desserts, Mithai",,Basavanagudi,Yes,"Dessert Parlor, Sweet Shop",Desserts
Stop 'N' Joy,3.8,28,Fast Food,,Banashankari,Yes,Quick Bites,Dine-out
Navi Food Point,3.6,22,Fast Food,,Basavanagudi,Yes,Quick Bites,Delivery
Bendakaluru Bytes,3.2,154,Fast Food,,Vijay Nagar,Yes,Quick Bites,Delivery
Kaggis,3.8,64,"Fast Food, Bakery",,Banashankari,No,Quick Bites,Dine-out
Messy Bowl,3.8,70,"Fast Food, Beverages","Tandoori Maggi, Paneer Sizzler, Pasta, Pizza, Butter Garlic Fries, Peri Peri Maggi, Garlic Maggi",Banashankari,No,Quick Bites,Dine-out
Cafe Zone,3.9,149,"Fast Food, Chinese, Rolls",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Waffle-A-Go Go,3.9,70,"Fast Food, Desserts, Ice Cream",Waffles,Banashankari,Yes,Dessert Parlor,Desserts
Linnet Bar & Restaurant,0,0,"Fast Food, Finger Food",,Banashankari,No,Bar,Dine-out
Snacks Bite,3,9,"Fast Food, Momos",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Kolkata Kathi Roll's,3.6,18,"Fast Food, Rolls",,Banashankari,Yes,Quick Bites,Dine-out
Rolls Corner,3.6,22,"Fast Food, Rolls",,Basavanagudi,No,Quick Bites,Dine-out
C Corner,3.2,36,"Fast Food, Street Food",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Shree Cool Point,4.1,28,"Fast Food, Street Food, Beverages",,Vijay Nagar,Yes,Quick Bites,Delivery
FreshMenu,3.9,627,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger","Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",Banashankari,Yes,Delivery,Delivery
Swaada Healthy Kitchen,0,0,"Healthy Food, Juices, Sandwich",,Banashankari,No,"Quick Bites, Beverage Shop",Delivery
Gopi Ice Creams,0,0,Ice Cream,,Banashankari,No,Dessert Parlor,Desserts
'@Italy,4.1,305,Italian,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Kumaraswamy Layout,Yes,Casual Dining,Delivery
Zephyr,3.9,133,"Italian, Continental","Chilli Paneer Pizza, Mocktails, French Fries, White Sauce Pasta, Nachos, Manchurian",Basavanagudi,No,Casual Dining,Dine-out
My Tea House,3.6,62,"Italian, Fast Food, Cafe, European","Pasta, Iced Tea",Banashankari,Yes,"Quick Bites, Cafe",Delivery
Vegetalia,3.7,27,"Italian, Pizza",,Banashankari,Yes,"Takeaway, Delivery",Delivery
In Time Cane Juice,3.5,10,"Juices, Beverages",,Kumaraswamy Layout,Yes,Beverage Shop,Delivery
The Lassi and Juice Park,3.8,28,"Juices, Desserts",,Banashankari,No,"Beverage Shop, Dessert Parlor",Desserts
The Lassi Park,4.1,185,"Juices, Desserts","Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",Jayanagar,Yes,Quick Bites,Delivery
Sri Ganesh Juice and Chats,3.5,18,"Juices, Street Food",,Banashankari,No,"Beverage Shop, Quick Bites",Dine-out
Sri Lakshmi Kabab Center,3.3,4,Kebab,,Banashankari,No,Quick Bites,Dine-out
Hotel New Karavali,3.8,133,"Mangalorean, South Indian, North Indian",,Banashankari,Yes,Quick Bites,Dine-out
Dharwad Line Bazaar Mishra Pedha,0,0,Mithai,,Banashankari,No,Dessert Parlor,Delivery
Poonam Sweets,4.4,356,Mithai,"Dhokla, Jalebi, Badam Milk, Rabri, Rasgulla, Rasmalai, Samosa Kachori",Banashankari,No,Sweet Shop,Desserts
Parimala Sweets,3.5,14,"Mithai, Street Food",,Banashankari,No,Sweet Shop,Delivery
KC Das - Sweet Spot,3.6,46,"Mithai, Street Food",,Basavanagudi,No,"Sweet Shop, Quick Bites",Desserts
Sri Manjunatha Tandoori Corner,0,0,Mughlai,,Uttarahalli,Yes,Quick Bites,Delivery
Food Box Cafe,3.6,36,"Mughlai, North Indian, Chinese",,Banashankari,No,Casual Dining,Dine-out
Foodlieious Multi Cuisine,0,0,North Indian,,Banashankari,No,Quick Bites,Delivery
Katriguppe Donne Biryani,3.2,4,North Indian,,Banashankari,No,Quick Bites,Delivery
Roti Land,0,0,North Indian,,Banashankari,No,Quick Bites,Dine-out
Funjabi Curries,2.9,11,North Indian,,Banashankari,Yes,Quick Bites,Dine-out
Desi Swaad,3.5,10,North Indian,,Kumaraswamy Layout,Yes,Quick Bites,Delivery
New Rajadhani Spicy,3.7,67,North Indian,,Kumaraswamy Layout,Yes,Casual Dining,Delivery
Dal Tadkaa,2.5,247,North Indian,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",Banashankari,Yes,Casual Dining,Delivery
Srinathji's Cafe,3.8,148,"North Indian, Cafe, Chinese, Fast Food","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",Basavanagudi,No,"Casual Dining, Cafe",Dine-out
Panchami,3,15,"North Indian, Chinese",,Banashankari,No,Quick Bites,Dine-out
SLN Bar and Restaurant,0,0,"North Indian, Chinese",,Banashankari,No,Casual Dining,Dine-out
Vaishali Deluxe,3.8,42,"North Indian, Chinese",,Banashankari,No,Casual Dining,Dine-out
Seven Star,3.4,7,"North Indian, Chinese",,Banashankari,Yes,Quick Bites,Delivery
Sri Yaksha Shiv Sagar,3.6,24,"North Indian, Chinese",,Banashankari,Yes,Casual Dining,Dine-out
Daal Roti,2.9,35,"North Indian, Chinese",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Food Point,3.5,32,"North Indian, Chinese",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Lord Of The Kitchen,3.9,56,"North Indian, Chinese",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
The Fortuna,3,67,"North Indian, Chinese",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Bridgeway,3.8,94,"North Indian, Chinese",,Mysore Road,No,Casual Dining,Dine-out
Akash Gowdru Biryani Center,0,0,"North Indian, Chinese",,Uttarahalli,No,Quick Bites,Delivery
Kitchen Garden,3.6,244,"North Indian, Chinese",Biryani,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Castle Rock,3.6,172,"North Indian, Chinese",Biryani,Uttarahalli,Yes,Casual Dining,Dine-out
Rasoi,3.3,128,"North Indian, Chinese","Lassi, Panneer Butter Masala, Paratha, Thali",Banashankari,Yes,Quick Bites,Delivery
Green Gardenia,3.8,160,"North Indian, Chinese","Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti",Banashankari,Yes,Casual Dining,Dine-out
Mr. Singh Da Dhaba,3.6,241,"North Indian, Chinese","Mughlai Paratha, Laccha Paratha, Rolls",Kumaraswamy Layout,Yes,Quick Bites,Delivery
Hotel Biriyani Counter,0,0,"North Indian, Chinese, Biryani",,Vijay Nagar,No,Quick Bites,Delivery
New Biryani Mane,3.7,128,"North Indian, Chinese, Biryani, South Indian","Egg Biryani, Tandoori Chicken, Fish, Rumali Roti",Uttarahalli,Yes,Casual Dining,Delivery
Fast And Fresh,2.8,91,"North Indian, Chinese, Fast Food",,Banashankari,Yes,Quick Bites,Delivery
Pramukh Family Restaurant,3.9,111,"North Indian, Chinese, Mughlai","Murgh Ghee Roast, Malai Kofta, Butter Chicken, Donne Biryani, Cocktails, Palak Rice, Masala Peanuts",Basavanagudi,No,Casual Dining,Dine-out
Anda Ka Funda,3.4,89,"North Indian, Chinese, Rolls",,Jayanagar,Yes,Quick Bites,Delivery
Dining Hut,3.5,10,"North Indian, Chinese, South Indian",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Roti Ghar,3.9,750,"North Indian, Chinese, South Indian","Coffee, Spring Roll, Roti, Panneer Butter Masala, Noodles, Butter Naan, Masala Dosa",Basavanagudi,Yes,Casual Dining,Delivery
Samskruti - Sanman Gardenia,4.1,139,"North Indian, Chinese, South Indian","Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",Jayanagar,Yes,Casual Dining,Delivery
Sip n Dine,3.6,218,"North Indian, Chinese, South Indian","Veg Jaipuri, Neer Dosa, Kulcha, Pepper Chicken, Chilli Mushroom, Murgh Platter, Paneer Tikka",Vijay Nagar,Yes,Casual Dining,Delivery
Soho Bar & Grill,2.7,377,"North Indian, Chinese, Thai","Thai Chicken, Chicken Lollipop, Cocktails, Jeera Rice, Rolls, Draught Beer, French Fries",Basavanagudi,No,Pub,Drinks & nightlife
Kabab Magic,4.1,1720,"North Indian, Kebab, Chinese, Fast Food","Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",Basavanagudi,Yes,Quick Bites,Delivery
7 Hills Garden Restaurant,0,0,"North Indian, Mughlai, Chinese",,Banashankari,Yes,Quick Bites,Dine-out
South Point Pub,3.4,11,"North Indian, Seafood, Chinese",,Basavanagudi,Yes,Bar,Delivery
7 Hills Restaurant,0,0,"North Indian, South Indian",,Banashankari,No,Casual Dining,Dine-out
Hotel Nisarga,3.2,5,"North Indian, South Indian",,Banashankari,No,Quick Bites,Dine-out
Nimmoora Thindi,0,0,"North Indian, South Indian",,Mysore Road,No,Quick Bites,Dine-out
Rosewood International Hotel - Bar & Restaurant,3.6,8,"North Indian, South Indian, Andhra, Chinese",,Mysore Road,No,Casual Dining,Dine-out
Pallavi Bar & Restaurant,0,0,"North Indian, South Indian, Chinese",,Mysore Road,No,"Casual Dining, Bar",Dine-out
Dodda Mane Baaduta,3.5,15,"North Indian, South Indian, Chinese, Biryani",,Banashankari,Yes,Quick Bites,Delivery
Bunt's Biriyani Palace,3,213,"North Indian, South Indian, Chinese, Biryani, Seafood","Neer Dosa, Sea Food, Pepper Chicken",Banashankari,Yes,Quick Bites,Delivery
The Krishna Grand,3.9,888,"North Indian, South Indian, Chinese, Fast Food, Juices","Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat",Banashankari,Yes,Casual Dining,Delivery
Cueferia A-Cafe,0,0,"North Indian, South Indian, Fast Food, Chinese, Italian",,Banashankari,No,Quick Bites,Dine-out
Aarush's Food Plaza,0,0,"North Indian, Street Food",,Banashankari,No,Quick Bites,Delivery
Utsav,3.7,59,"North Indian, Street Food","Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav",Banashankari,Yes,Quick Bites,Delivery
Kedia's Fun Food,4.3,630,"North Indian, Street Food, Juices","Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",Jayanagar,Yes,Quick Bites,Delivery
Pizza Mane,3.5,32,"Pizza, Sandwich, Burger, Fast Food","French Fries, Burgers",Banashankari,Yes,Quick Bites,Delivery
Mohitesh Hut Roll,0,0,"Rolls, North Indian",,Banashankari,No,Quick Bites,Delivery
Nandini Milk Parlour and Restaurant,0,0,"Sandwich, Rolls, South Indian, Ice Cream",,Mysore Road,Yes,"Dessert Parlor, Quick Bites",Delivery
Karavali Family Restaurant,3.5,90,"Seafood, Biryani, South Indian, North Indian, Chinese",,Jayanagar,Yes,Casual Dining,Delivery
Kadalu Sea Food Restaurant,3.8,153,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",,Vijay Nagar,Yes,Fine Dining,Delivery
Brahmin Cafe,3.8,19,South Indian,,Banashankari,No,Quick Bites,Dine-out
Hanumanthanagar Biryani Junction,3.5,17,South Indian,,Banashankari,No,Quick Bites,Dine-out
Havyaka Mess,3.9,28,South Indian,,Banashankari,No,Mess,Dine-out
Kaapi Corner,0,0,South Indian,,Banashankari,No,Quick Bites,Dine-out
New Prakash Hotel,0,0,South Indian,,Banashankari,No,Quick Bites,Dine-out
Ruchi Maayaka,3.3,8,South Indian,,Banashankari,No,Delivery,Delivery
Shree Udupi South kitchen,0,0,South Indian,,Banashankari,No,Quick Bites,Dine-out
Simple Thindies,3.5,8,South Indian,,Banashankari,No,Quick Bites,Dine-out
Sri Basaveshwar Jolada Rotti Oota,0,0,South Indian,,Banashankari,No,Quick Bites,Delivery
Sri Raghavendra Prasanna Coffee Beans Club,0,0,South Indian,,Banashankari,No,Quick Bites,Dine-out
Sunsadm,0,0,South Indian,,Banashankari,No,"Takeaway, Delivery",Delivery
SVKP Daily Fresh,3.3,5,South Indian,,Banashankari,No,Quick Bites,Dine-out
Taja Coffee,0,0,South Indian,,Banashankari,No,Quick Bites,Dine-out
The Coorg Kitchen,0,0,South Indian,,Banashankari,No,Quick Bites,Dine-out
Wood Stove,0,0,South Indian,,Banashankari,No,"Takeaway, Delivery",Delivery
Bhattara Bhojana,3.6,66,South Indian,,Banashankari,Yes,Quick Bites,Dine-out
Madhappa Hindu Military Hotel,3.4,14,South Indian,,Banashankari,Yes,Quick Bites,Delivery
Sri Sai 99 Variety Dosa,3.8,25,South Indian,,Banashankari,Yes,Quick Bites,Delivery
Sri Sai Cafe,3.5,10,South Indian,,Basavanagudi,Yes,Quick Bites,Delivery
Sri Udupi Veg,3.3,4,South Indian,,Jayanagar,No,Quick Bites,Dine-out
Kadamba Classic,3.6,16,South Indian,,Mysore Road,No,Quick Bites,Dine-out
Hotel Pork Paradise,3.7,21,South Indian,,Mysore Road,Yes,Quick Bites,Delivery
SLV Refreshment,4.1,94,South Indian,"Coffee, Masala Dosa, Kharabath, Idli Vada, Kesari Bath",Banashankari,No,Quick Bites,Dine-out
Mane Thindi,3.7,130,South Indian,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",Banashankari,No,Quick Bites,Dine-out
Bharjari Oota,3.9,153,South Indian,"Curd Rice, Coriander Soup, Masala Dosa, Biryani, Thali",Basavanagudi,No,Casual Dining,Dine-out
Mahalaxmi Tiffin Room,4.1,177,South Indian,"Filter Coffee, Rava Idli, Kali Dosa, Carrot Halwa, Idli Vada, Vada Sambar, Bonda",Basavanagudi,No,Quick Bites,Dine-out
Gama Gama,3.9,264,South Indian,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",Banashankari,Yes,Quick Bites,Dine-out
Hotel Mangala,3.9,88,South Indian,"Khali Dosa, Kali Dosa, Masala Dosa, Vada Sambar",Banashankari,No,Quick Bites,Dine-out
Hotel Dwarka,4.2,253,South Indian,"Khali Dosa, Kali Dosa, Upma, Filter Coffee, Kesari Bath, Set Dosa, Masala Dosa",Basavanagudi,No,Quick Bites,Dine-out
Janahaar,3.8,70,South Indian,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",Banashankari,Yes,Quick Bites,Dine-out
Udupi Sri Krishna Bhavan,4.1,238,South Indian,"Masala Dosa, Vada, Obbattu, Badam Milk, Khara Bhath, Coffee, Puri Saagu",Basavanagudi,No,Quick Bites,Dine-out
Upahara Darshini,4.2,254,South Indian,"Masala Dosa, Vada, Set Dosa, Filter Coffee, Raita, Idli Sambar, Crispy Dosa",Basavanagudi,No,Quick Bites,Dine-out
Taaza Thindi,4.7,651,South Indian,"Masala Dosa, Vada, Upma, Filter Coffee, Kesari Bath, Idli Chutney, Kharabath",Banashankari,No,Quick Bites,Dine-out
Kidambi's Kitchen,3.5,52,South Indian,Rooftop Ambience,Banashankari,No,Quick Bites,Delivery
Eat Repeat,3.9,101,South Indian,"Sweet Pongal, Curd Rice",Basavanagudi,Yes,Quick Bites,Delivery
Puliyogare Point,4.2,444,South Indian,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",Basavanagudi,Yes,Quick Bites,Dine-out
Grand Food,3.4,8,"South Indian, Bakery, Chinese",,Banashankari,Yes,"Quick Bites, Bakery",Dine-out
Gawdaru Mane Beriyani,0,0,"South Indian, Biryani",,Banashankari,No,Quick Bites,Delivery
Kotian Karavali Restaurant,3.5,10,"South Indian, Biryani",,Banashankari,No,Quick Bites,Delivery
Ranganna Military Hotel,4.2,725,"South Indian, Biryani","Mutton Biryani, Mutton Chops, Chicken Biryani, Chicken Fry, Paya, Mutton Fry, Chilli Chicken",Jayanagar,No,Quick Bites,Dine-out
Sri Balaji Tiffin Centre,0,0,"South Indian, Chinese",,Banashankari,No,Quick Bites,Dine-out
HOT COFFEE,4.1,70,"South Indian, Chinese",,Basavanagudi,Yes,Quick Bites,Delivery
SSV Upahar,0,0,"South Indian, Chinese",,Jayanagar,Yes,Quick Bites,Delivery
Charisma's Matru Sagar,0,0,"South Indian, Chinese",,Mysore Road,No,Quick Bites,Dine-out
Iyer's Tiffin Centre,3.8,62,"South Indian, Chinese","Kesari Bath, Masala Dosa",Banashankari,No,Quick Bites,Dine-out
SLV Corner Restaurant,4.1,364,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices","Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast",Basavanagudi,Yes,Casual Dining,Dine-out
Dwaraka Grand,3.9,128,"South Indian, Chinese, Street Food, Juices","Masala Dosa, Coffee",Kumaraswamy Layout,Yes,Casual Dining,Delivery
MM Tiffen Center,0,0,"South Indian, Fast Food",,Banashankari,No,Quick Bites,Dine-out
Sticke2Waffles,0,0,"South Indian, Fast Food",,Basavanagudi,No,Quick Bites,Dine-out
Kamat Bugle Rock,3.9,543,"South Indian, Fast Food","Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani",Basavanagudi,Yes,Quick Bites,Delivery
Ice Thunder,3.8,124,"South Indian, Fast Food, North Indian, Desserts","Masala Poori, Rumali Roti, Sandwiches, Chaat, Burgers",Basavanagudi,No,Quick Bites,Dine-out
Millet Mama,3.9,18,"South Indian, Healthy Food",,Basavanagudi,Yes,Quick Bites,Delivery
Kollapuri's,3.9,206,"South Indian, Mangalorean","Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",Basavanagudi,No,Quick Bites,Delivery
Shree Mandarathi Grand,3.7,38,"South Indian, North Indian",,Uttarahalli,Yes,Casual Dining,Delivery
Addhuri Udupi Bhojana,3.7,88,"South Indian, North Indian",Masala Dosa,Banashankari,No,Quick Bites,Dine-out
Manifest Cafe,3.5,10,"South Indian, North Indian, Chinese",,Banashankari,No,Casual Dining,Dine-out
Shri Guru Raghavendra Grand Veg,0,0,"South Indian, North Indian, Chinese",,Banashankari,No,Quick Bites,Dine-out
Anand Sagar Inn,3.3,6,"South Indian, North Indian, Chinese",,Basavanagudi,No,Casual Dining,Dine-out
Food Plaza,0,0,"South Indian, North Indian, Chinese",,Basavanagudi,No,Quick Bites,Dine-out
Vi Ra's Bar and Restaurant,3.3,62,"South Indian, North Indian, Chinese",Chilli Chicken,Banashankari,No,Bar,Drinks & nightlife
South Grand,3.4,102,"South Indian, North Indian, Chinese, Beverages",Rava Dosa,Uttarahalli,Yes,Casual Dining,Delivery
Aadhya Hotel,3.3,5,"South Indian, North Indian, Chinese, Biryani",,Basavanagudi,Yes,"Casual Dining, Bar",Delivery
Chicken Hunt,3.5,88,"South Indian, North Indian, Chinese, Biryani",Chicken Grill,Banashankari,Yes,Quick Bites,Dine-out
Parama Ruchi,3.5,11,"South Indian, North Indian, Chinese, Street Food",,Banashankari,No,Quick Bites,Dine-out
Udupi Ruchi,3.9,57,"South Indian, North Indian, Chinese, Street Food",,Banashankari,Yes,Quick Bites,Dine-out
Udupi Ruchi Grand,4.2,60,"South Indian, North Indian, Chinese, Street Food",,Banashankari,Yes,Quick Bites,Delivery
Ayodhya Upachar,4.3,734,"South Indian, North Indian, Chinese, Street Food","Panneer Butter Masala, Vada, Curd Rice, Idli, Jeera Rice, Naan, Kulcha",Banashankari,Yes,Quick Bites,Delivery
Soms Kitchen & Bakes,0,0,"South Indian, North Indian, Continental",,Banashankari,No,Delivery,Delivery
Parijatha Paradise,0,0,"South Indian, North Indian, Fast Food, Chinese, Street Food",,Banashankari,Yes,Casual Dining,Dine-out
Vasanth Vihar - Since 1965,3.6,95,"South Indian, Street Food",,Banashankari,Yes,Quick Bites,Dine-out
Nandi Chats and Juice,3.6,47,Street Food,,Banashankari,No,Quick Bites,Dine-out
Sri Venkateshwara Chat Centre,3.5,12,Street Food,,Banashankari,No,Quick Bites,Dine-out
Vinay Bhel Corner,3.4,7,Street Food,,Banashankari,No,Quick Bites,Dine-out
Potato House,3.4,9,Street Food,,Uttarahalli,Yes,Quick Bites,Delivery
