Restaurant_Name,Rating (Out of 5),votes,cuisines,dish_liked,location,online_order,Sub-Type,Type
Tastydabba.in,0,0,North Indian,,HSR,No,Delivery,Delivery
Thakur's Kitchen,0,0,North Indian,,HSR,No,Delivery,Delivery
Thali15,0,0,North Indian,,HSR,No,Delivery,Delivery
Khichadiwala,3.9,15,North Indian,,HSR,Yes,"Takeaway, Delivery",Delivery
Mr.Khana Khazana,0,0,North Indian,,HSR,Yes,"Takeaway, Delivery",Delivery
New Punjabi Pure Veg Restaurant,3.5,10,North Indian,,HSR,Yes,Quick Bites,Delivery
Yummy Pot,0,0,North Indian,,HSR,Yes,Quick Bites,Dine-out
Swa-Desh A Family Restaurant,0,0,North Indian,,Koramangala 1st Block,No,Quick Bites,Dine-out
Masale Daan,3.3,5,North Indian,,Koramangala 1st Block,Yes,Delivery,Delivery
Xpress Dhaba,0,0,North Indian,,Koramangala 1st Block,Yes,Quick Bites,Delivery
Sharma's Malai & Masala,4,457,North Indian,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",Koramangala 1st Block,Yes,Casual Dining,Delivery
Balle-Licious Kitchen,3.9,170,North Indian,"Dal Makhani, Butter Chicken, Reshmi Kebab, Shahi Paneer, Butter Naan, Shahi Tukda, Chilli Chicken",HSR,Yes,Delivery,Delivery
Mealsbaba,3.7,57,North Indian,"Lassi, Mutton",HSR,Yes,"Takeaway, Delivery",Delivery
What's Cooking,3.1,35,North Indian,Rajma Chawal,HSR,Yes,"Takeaway, Delivery",Delivery
Zayakedar,4,251,North Indian,"Rajma, Fried Rice, Lassi, Butter Phulkas, Bhindi Fry, Thali, Butter Chicken",Bellandur,Yes,Quick Bites,Delivery
Maa Di Hatti,2.8,137,North Indian,"Saag, Veg Thali",Koramangala 1st Block,Yes,Quick Bites,Delivery
Ghar Ka Khana,3.7,95,North Indian,Thali,Koramangala 1st Block,Yes,Quick Bites,Delivery
Kalpanar Rannaghar,3.4,8,"North Indian, Bengali, Chinese",,Ejipura,No,Delivery,Delivery
Harilal ka Bihari Dhaba,0,0,"North Indian, Bihari",,Koramangala 1st Block,Yes,Dhaba,Delivery
Parivaar Eat House,0,0,"North Indian, Biryani",,Electronic City,Yes,Delivery,Delivery
RICE BAR,3.1,6,"North Indian, Biryani",,HSR,No,Delivery,Delivery
Yaadgar Biriyani,0,0,"North Indian, Biryani",,HSR,No,Quick Bites,Dine-out
Nuty,0,0,"North Indian, Biryani",,HSR,Yes,Quick Bites,Dine-out
Hotel Amulya,0,0,"North Indian, Chettinad, Chinese",,Electronic City,No,Casual Dining,Dine-out
Sri Bhagya Veg,0,0,"North Indian, Chinese",,Bommanahalli,No,Quick Bites,Dine-out
Navi's Kitchen,0,0,"North Indian, Chinese",,Bommanahalli,Yes,Quick Bites,Delivery
Punjabi Dhaba And Family Restaurant,0,0,"North Indian, Chinese",,Electronic City,No,Quick Bites,Dine-out
Brajwasi Catering Service,0,0,"North Indian, Chinese",,HSR,No,Delivery,Delivery
Brown Box,0,0,"North Indian, Chinese",,HSR,No,Delivery,Delivery
Chattar Mattar,3.5,11,"North Indian, Chinese",,HSR,No,Quick Bites,Dine-out
Food Magic,0,0,"North Indian, Chinese",,HSR,No,Quick Bites,Dine-out
Hunger Swipe Restaurant,0,0,"North Indian, Chinese",,HSR,No,Casual Dining,Dine-out
Kahaani Cafe And Restaurant,0,0,"North Indian, Chinese",,HSR,No,Quick Bites,Delivery
Mahek E Punjab,3.1,7,"North Indian, Chinese",,HSR,No,Casual Dining,Dine-out
Mehek E Punjab,0,0,"North Indian, Chinese",,HSR,No,Quick Bites,Dine-out
Pathak's Kitchen,0,0,"North Indian, Chinese",,HSR,No,"Takeaway, Delivery",Delivery
Royal Shark,0,0,"North Indian, Chinese",,HSR,No,Casual Dining,Dine-out
The Bigman's Cafe,3.7,31,"North Indian, Chinese",,HSR,No,"Takeaway, Delivery",Delivery
The Food Factory,2.7,42,"North Indian, Chinese",,HSR,No,Quick Bites,Delivery
4K Biryani,3.3,4,"North Indian, Chinese",,HSR,Yes,Delivery,Delivery
Aao G Khao G,3.5,11,"North Indian, Chinese",,HSR,Yes,Quick Bites,Dine-out
Bindu Garden Bar & Restaurant,3.1,36,"North Indian, Chinese",,HSR,Yes,Casual Dining,Delivery
Dilli6 Paratha,3,4,"North Indian, Chinese",,HSR,Yes,"Takeaway, Delivery",Delivery
Kia's Kitchen,3.5,12,"North Indian, Chinese",,HSR,Yes,Delivery,Delivery
North Tadka Restaurant,0,0,"North Indian, Chinese",,HSR,Yes,Quick Bites,Delivery
Punjabi Handi,2.9,19,"North Indian, Chinese",,HSR,Yes,Quick Bites,Dine-out
Rock View Family Restaurant,3.3,8,"North Indian, Chinese",,HSR,Yes,Casual Dining,Dine-out
Zodiac Grills,3.2,4,"North Indian, Chinese",,HSR,Yes,Quick Bites,Dine-out
Dine With Singhs,0,0,"North Indian, Chinese",,Koramangala 1st Block,No,Quick Bites,Dine-out
Moonlights Kitchens,0,0,"North Indian, Chinese",,Koramangala 1st Block,No,Delivery,Delivery
Yahiya Restaurant,0,0,"North Indian, Chinese",,Marathahalli,No,Casual Dining,Dine-out
Rajsi Rasoi,0,0,"North Indian, Chinese",,South Bangalore,Yes,"Takeaway, Delivery",Dine-out
The Little Chef,3.5,136,"North Indian, Chinese","Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",HSR,No,Casual Dining,Dine-out
Hatti Punjab Di,3.9,226,"North Indian, Chinese","Burgers, Aloo Paratha, Momos, Gulab Jamun, Mutton Roganjosh, Noodles, Butter Chicken",Koramangala 1st Block,Yes,"Takeaway, Delivery",Delivery
Phulke Ghar Ke,4,533,"North Indian, Chinese","Lassi, Thali, Paratha, Rajma, Malai Kofta, Buttermilk, Phulke Ghar Ke",Bellandur,Yes,Quick Bites,Delivery
